,Hospital,Location,Description,lat,long
0,Sushma Koirala Memorial (SKM) Hospital,"Salambutar,Sankhu, Shankharapur Municipality,Ktm ","Center of Plastic & Reconstructive Surgery (Other Services as Dental, Physiotherapy, Orthopedics, Gynecology, Family Medicine, ENT, Video X-ray, 24 Hrs X-ray, Lab, Emergency & Ambulance)",27.7237577,85.4532177
1,Maya Metro Hospital Pvt. Limited,"Chatakpur-3, Dhangadhi, Kailali",Multispeciality Hospital,28.7114711,80.5684355
2,Ayur Health Care & Diagnostic Centre,"Satdobato-15, Lalitpur, Patan",The Centre is mainly established by ayurveda and allopathic doctor teams. Patients can get treatment at one place as integrated health services at one place. Patients can get treatments at lower cost.,27.6592782,85.3249737
3,Clinic One,"Norkhang Complex, 2nd Floor, In Front of St Xavier's School, Jawalkhel, Lalitpur","Kathmandu's Top Preventative Healthcare Clinic - offering Vaccination, General Physician and Specialty visits, Imaging and Medicines. Specifically offering Annual Whole Body Checkup, Doctor or OBGYN visit, Vaccines for Flu, Rabies, Tetanus, Polio, Pneumonia, Meningitis, Hepatitis, MMR etc., Ultrasound, XRay and more. Believe in Preventative Mind and Body Health so you are in Top Shape. https://www.clinicone.com.np/",27.6737953,85.3140372
4,Advanced Medicare Hospital (AMC),"Birta, Birgunj, Parsa",,27.0449005,84.8672171
5,Aashas Health Care,"Jawalakhel, Lalitpur","Aashas Health Care (AHC) is an extended physiotherapy and dental health clinic, which is committed to providing world-class physiotherapy services and advanced dental services.[1]",27.6738563,85.3141292
6,Ajasrika Ayurveda and Panchakarma Centre,"Bhaisepati, Lalitpur",,27.6549616,85.3006692
7,Annapurna Neurological Institute & Allied Sciences,"All Nepal Hospital, Samakhushi, Kathmandu",,27.6947558,85.3214996
8,Bardibas Hospital,"Bardibas, Mahottari","(Nepali: बर्दिबास अस्पताल) Headed by Dr Raghbendra Jha, Dr Bibodh Jung Karki",26.9846592,85.8894752
9,Bhawani Hospital Research Center,"Birgunj, Parsa","Bhawani Hospital and Research Center is located in Birgunj. With affiliation from CTEVT, it is offering Lab Assistant program.",27.0128417,84.883526
10,"B.P. Eye Foundation, Children's Hospital for Eye, ENT and Rehabilitation Services (CHEERS)","Lokanthali, Bhaktapur",,27.670796,85.353534
11,Binaytara Foundation Cancer Center,"Janakpurdham, Dhanusha",Established by Binaytara Foundation. This is the only cancer hospital in province 2 of Nepal. https://cancer.binayfoundation.org,26.7262827,85.9377622
12,Birgunj Health Care Hospital,"Birgunj, Parsa","The Main abjective of BHC hospital is to provide adequate Health Service by using latest technology and equipment explored in health sector to poor and middle-class family in low cost without any racism, cast, culture. Source: www.hamrodoctor.com",27.0442622,84.8989251
13,Chitwan Medical College,,,33.791638,84.389488
14,Chitwan Eye Hospital,"Bharatpur 10, Chitwan",(Specialized Eye Hospital in Chitwan,27.6811152,84.4323201
15,Advanced Poly Clinic (Kathmandu),"Pani Pokhari, Kathmandu",,27.7273178,85.3238413
16,Advanced Poly Clinic(Pokhara),"New Road, Pokhara",,28.2136701,83.9854427
17,Moksha  Ayurveda & Panchakarma Center,"Bakhundole, Patan, Lalitpur (Near by Norwegian Embassy)","Ayurvedic clinic specialized for Panchakarma Treatments, Pain Management, Stress Management, Piles & Fistula Treatments, Yoga & Meditation.[2]",27.6822694,85.314435
18,Shubhatara Hospital & Research Center,"Mahalaxmisthan-15, Lalitpur",,27.661808,85.318744
19,AMDA,"Jorpati, Damak and Dhulabari",,27.723998,85.375647
20,Amppipal Hospital,"Amppipal, Gorkha",,28.0695533,84.5297997
21,Anand Ban Leprosy Hospital,"Tika Bhairab, Lele, Lalitpur",(Nepali: आनन्द वन कुष्टरोग अस्पताल) Specialized hospital serving people suffering from leprosy.,27.5768318,85.3152373
23,Arghakhanchi Hospital,Arghakhanchi,,28.0352986,83.1949204
24,Ayurvedic Hospital,Nardevi,ayruvedic treatment system. The hospital operates an ayurvedic medical school.,27.707747,85.3053009
25,Nepal Ayurveda Medical College & Teaching Hospital,"Birgunj, Parsa",ayurvedic treatment system. The hospital operates an ayurvedic medical school.,26.9958194,84.8614776
28,Bayalpata Hospital,Achham,Operated by Nyaya Health[5] in partnership with the Nepal Ministry of Health and Population.,29.21897,81.2224007
29,Bhaktapur Cancer Hospital,Bhaktapur,,27.6731567,85.4222913
30,Bhaktapur Hospital,"Dudhpati, Bhaktapur",,27.6723494,85.4216757
31,Bharatpur Hospital,"Bharatpur, Chitwan",(Nepali: महेन्द्र आर्दश चिकीत्सालय),27.6818787,84.4365657
32,Bheri Zonal Hospital,Nepalgunj,,28.0526841,81.620149
33,Biratnagar Eye Hospital,Biratnagar,Established in 2006 at Biratnagar. Second largest city of Nepal.,26.4231429,87.2715866
34,Bir Hospital,Tundikhel,"Established by Bir Shumsher Jang Bahadur Rana. The hospital hosts the National Academy of Medical Sciences, a college affiliated to Tribhuwan University, providing master's level degree to doctors.[6][7]",27.7009895,85.315017
35,Birendra Sainik Aspatal (Birendra Military Hospital),Chhauni,"(Nepali: बीरेन्द्र सैनिक अस्पताल) A military hospital, located in Chhauni, Kathmandu. The late royal family of Nepal were announced dead in this hospital after the Narayanhity Royal Massacre.[8]",27.7112208,85.291261
36,Nepal Police Hospital,Maharajganj (Panipokhari),"Nepal Police Hospital, previously known as the Birendra Police Hospital, is the first hospital of Nepal Police organization, founded by IGP Khadgajeet Baral and Late IGP DB Lama, established in 1984 AD.)",27.7311856,85.3233487
37,Balaju Swasthya Clinic,Kathmandu,Acute care hospital,27.7309123,85.2955242
38,B.P. Koirala Institute of Health Sciences,Dharan,,26.8122712,87.2682808
39,B.P. Koirala Memorial Cancer Hospital,Bharatpur,"National cancer center for diagnosis, treatment, prevention and research in cancer in Nepal",27.6634881,84.4187542
40,Capital Hospital,Putali Sadak,"Trauma, total hip, knee and elbow replacement, limb sparing tumor surgery, spinal surgery, painless delivery and other modern childbirth services.",27.702495,85.3216099
